account_id,customer_id,type,currency,balance,status,opened_at,branch_id
A-2001,C-1282,Checking,JPY,6269.09,DORMANT,2024-01-31T17:32:00,B-4
A-2002,C-1073,Loan,CAD,3045.55,CLOSED,2022-09-19T18:03:00,B-1
A-2003,C-1151,Savings,INR,8383.84,DORMANT,2023-06-18T07:30:00,B-36
A-2004,C-1021,Savings,INR,3123.2,DORMANT,2023-03-07T13:18:00,B-27
A-2005,C-1137,Savings,JPY,9489.15,ACTIVE,2020-10-21T08:17:00,B-23
A-2006,C-1232,Checking,CAD,9407.26,CLOSED,2021-04-17T05:40:00,B-50
A-2007,C-1292,Checking,JPY,4076.19,CLOSED,2022-10-30T00:11:00,B-26
A-2008,C-1028,Loan,INR,1872.04,DORMANT,2021-01-05T09:54:00,B-2
A-2009,C-1218,Loan,INR,5133.57,ACTIVE,2024-11-17T06:29:00,B-35
A-2010,C-1010,Checking,EUR,4797.16,CLOSED,2025-08-09T11:49:00,B-3
A-2011,C-1142,Savings,JPY,2181.03,CLOSED,2023-02-02T11:17:00,B-10
A-2012,C-1275,Loan,INR,5853.9,ACTIVE,2023-06-20T21:15:00,B-22
A-2013,C-1152,Savings,INR,1847.34,DORMANT,2022-04-09T15:05:00,B-42
A-2014,C-1066,Savings,JPY,9451.89,DORMANT,2024-01-03T09:57:00,B-42
A-2015,C-1137,Loan,JPY,2322.27,CLOSED,2023-09-02T08:47:00,B-42
A-2016,C-1080,Savings,EUR,2640.4,ACTIVE,2021-05-08T19:44:00,B-40
A-2017,C-1208,Loan,GBP,5817.94,ACTIVE,2025-06-26T12:38:00,B-36
A-2018,C-1056,Loan,EUR,3769.02,ACTIVE,2020-12-12T22:46:00,B-1
A-2019,C-1269,Savings,USD,6643.61,ACTIVE,2022-11-21T02:52:00,B-4
A-2020,C-1212,Current,AUD,9426.04,DORMANT,2024-11-17T08:57:00,B-10
A-2021,C-1274,Current,AUD,6284.54,ACTIVE,2023-01-16T06:15:00,B-13
A-2022,C-1247,Checking,EUR,3047.85,DORMANT,2021-11-05T18:27:00,B-27
A-2023,C-1042,Loan,INR,7455.25,CLOSED,2022-05-16T16:37:00,B-36
A-2024,C-1090,Loan,CAD,2001.36,CLOSED,2023-12-30T16:41:00,B-36
A-2025,C-1177,Current,JPY,8928.88,CLOSED,2024-01-25T16:09:00,B-6
A-2026,C-1273,Loan,GBP,2723.3,CLOSED,2022-09-14T01:40:00,B-23
A-2027,C-1239,Loan,GBP,1713.03,ACTIVE,2021-01-14T02:11:00,B-14
A-2028,C-1250,Loan,EUR,7217.37,CLOSED,2023-09-29T05:16:00,B-6
A-2029,C-1175,Checking,GBP,5173.34,DORMANT,2024-05-18T12:14:00,B-19
A-2030,C-1242,Loan,INR,9091.2,ACTIVE,2022-08-02T05:55:00,B-18
A-2031,C-1044,Checking,CAD,826.93,ACTIVE,2025-07-01T07:17:00,B-46
A-2032,C-1092,Checking,GBP,84.9,DORMANT,2022-10-16T18:53:00,B-49
A-2033,C-1076,Checking,CAD,2606.57,DORMANT,2024-07-14T11:32:00,B-46
A-2034,C-1277,Loan,EUR,2625.18,ACTIVE,2025-07-14T18:20:00,B-35
A-2035,C-1253,Savings,USD,3567.87,CLOSED,2024-10-21T01:08:00,B-19
A-2036,C-1300,Current,EUR,6849.7,CLOSED,2022-11-09T07:25:00,B-4
A-2037,C-1151,Savings,EUR,5699.97,DORMANT,2025-07-04T13:06:00,B-23
A-2038,C-1171,Current,JPY,7.17,ACTIVE,2022-12-16T21:04:00,B-22
A-2039,C-1110,Loan,EUR,6837.88,DORMANT,2024-08-04T20:43:00,B-4
A-2040,C-1014,Savings,AUD,2234.88,CLOSED,2023-12-29T15:19:00,B-41
