txn_id,src_account_id,dst_account_id,amount,currency,channel,ts,status
T-3001,A-2109,A-2113,8712.34,CAD,ATM,2020-08-10T22:19:45,PENDING
T-3002,A-2293,A-2199,872.55,USD,CASH,2021-05-26T11:54:12,FAILED
T-3003,A-2222,A-2175,9835.97,INR,ONLINE,2022-01-22T11:31:09,FAILED
T-3004,A-2271,A-2184,262.2,EUR,ONLINE,2024-12-27T03:29:37,PENDING
T-3005,A-2165,A-2073,8473.31,AUD,MOBILE,2020-02-15T04:46:08,PENDING
T-3006,A-2256,A-2244,5000.03,AUD,MOBILE,2020-02-24T16:56:08,FAILED
T-3007,A-2231,A-2105,2118.22,CAD,CASH,2024-01-06T19:35:15,PENDING
T-3008,A-2165,A-2222,3872.63,CAD,ATM,2022-11-21T14:49:16,PENDING
T-3009,A-2145,A-2186,8838.83,AUD,POS,2021-02-28T19:02:25,SUCCESS
T-3010,A-2125,A-2205,5281.92,INR,CASH,2024-06-03T01:35:47,PENDING
T-3011,A-2173,A-2114,3720.64,USD,ONLINE,2021-11-08T14:07:14,FAILED
T-3012,A-2164,A-2129,8262.64,EUR,MOBILE,2021-10-29T09:14:51,SUCCESS
T-3013,A-2002,A-2065,93.3,CAD,CASH,2023-06-29T11:43:58,SUCCESS
T-3014,A-2275,A-2057,7128.91,CAD,CASH,2024-08-19T02:50:14,SUCCESS
T-3015,A-2268,A-2263,2774.81,JPY,MOBILE,2024-05-29T15:49:31,SUCCESS
T-3016,A-2194,A-2015,1835.09,USD,POS,2021-10-11T11:33:24,PENDING
T-3017,A-2193,A-2039,4827.3,USD,ONLINE,2020-04-28T02:18:57,PENDING
T-3018,A-2017,A-2275,6521.93,AUD,CASH,2021-09-10T19:44:56,FAILED
T-3019,A-2168,A-2026,2482.72,JPY,ONLINE,2020-05-14T04:54:32,PENDING
T-3020,A-2190,A-2192,9135.02,GBP,CASH,2024-12-05T21:12:38,PENDING
T-3021,A-2174,A-2203,60.98,USD,ONLINE,2021-01-20T00:04:52,PENDING
T-3022,A-2142,A-2238,8345.98,JPY,ONLINE,2024-02-15T13:59:35,PENDING
T-3023,A-2084,A-2232,7598.26,USD,ONLINE,2022-10-23T19:46:40,PENDING
T-3024,A-2058,A-2280,5956.31,CAD,ATM,2021-01-13T22:34:20,FAILED
T-3025,A-2203,A-2271,8872.04,JPY,POS,2022-05-25T01:35:48,PENDING
T-3026,A-2024,A-2094,9250.75,INR,MOBILE,2021-08-30T17:04:51,SUCCESS
T-3027,A-2269,A-2297,5018.99,INR,ONLINE,2021-07-09T14:37:42,FAILED
T-3028,A-2133,A-2176,7921.11,GBP,MOBILE,2024-09-19T16:45:14,SUCCESS
T-3029,A-2121,A-2127,7754.15,JPY,MOBILE,2023-02-18T04:40:45,FAILED
T-3030,A-2218,A-2167,2411.27,EUR,ONLINE,2021-03-23T11:15:46,PENDING
T-3031,A-2040,A-2275,2320.02,AUD,MOBILE,2024-11-19T10:36:32,FAILED
T-3032,A-2202,A-2122,3654.16,EUR,ATM,2022-01-28T21:03:02,SUCCESS
