account_id,customer_id,type,currency,balance,status,opened_at,branch_id
A-2001,C-1003,SAVINGS,GBP,1848.52,CLOSED,8/19/2025 21:01,B-26
A-2002,C-1007,SAVINGS,EUR,7974.95,FROZEN,8/19/2025 21:01,B-21
A-2003,C-1014,SAVINGS,USD,5851.07,FROZEN,8/19/2025 21:01,B-22
A-2004,C-1019,CHECKING,INR,3708.51,FROZEN,8/19/2025 21:01,B-09
A-2005,C-1045,CREDIT,USD,3689.88,ACTIVE,8/19/2025 21:01,B-24
A-2006,C-1017,CREDIT,GBP,7953.58,CLOSED,8/19/2025 21:01,B-08
A-2007,C-1031,LOAN,EUR,8699.43,ACTIVE,8/19/2025 21:01,B-15
A-2008,C-1033,LOAN,GBP,3539.12,CLOSED,8/19/2025 21:01,B-12
A-2009,C-1039,CHECKING,INR,5459.88,FROZEN,8/19/2025 21:01,B-24
A-2010,C-1011,CREDIT,USD,4488.69,CLOSED,8/19/2025 21:01,B-04
A-2011,C-1010,CHECKING,EUR,9533.7,FROZEN,8/19/2025 21:01,B-01
A-2012,C-1036,CREDIT,EUR,8788.41,ACTIVE,8/19/2025 21:01,B-16
A-2013,C-1023,SAVINGS,USD,8798.82,FROZEN,8/19/2025 21:01,B-05
A-2014,C-1006,SAVINGS,USD,4616.8,CLOSED,8/19/2025 21:01,B-20
A-2015,C-1004,CHECKING,USD,3202.2,ACTIVE,8/19/2025 21:01,B-15
A-2016,C-1023,SAVINGS,GBP,5838.78,ACTIVE,8/19/2025 21:01,B-03
A-2017,C-1016,CHECKING,EUR,8490.21,CLOSED,8/19/2025 21:01,B-15
A-2018,C-1019,LOAN,EUR,770.13,CLOSED,8/19/2025 21:01,B-03
A-2019,C-1005,CHECKING,INR,4688.85,FROZEN,8/19/2025 21:01,B-25
A-2020,C-1037,CREDIT,EUR,6847.41,FROZEN,8/19/2025 21:01,B-18
A-2021,C-1044,LOAN,GBP,7640.19,ACTIVE,8/19/2025 21:01,B-16
A-2022,C-1033,SAVINGS,EUR,3702.5,ACTIVE,8/19/2025 21:01,B-21
A-2023,C-1027,SAVINGS,INR,7908.75,CLOSED,8/19/2025 21:01,B-11
A-2024,C-1028,CREDIT,USD,3092.32,FROZEN,8/19/2025 21:01,B-20
A-2025,C-1026,LOAN,GBP,8242.54,ACTIVE,8/19/2025 21:01,B-30
A-2026,C-1030,SAVINGS,GBP,1892.48,FROZEN,8/19/2025 21:01,B-13
A-2027,C-1008,SAVINGS,INR,4663.35,ACTIVE,8/19/2025 21:01,B-22
A-2028,C-1035,LOAN,INR,982.95,CLOSED,8/19/2025 21:01,B-20
A-2029,C-1038,SAVINGS,GBP,9267.44,ACTIVE,8/19/2025 21:01,B-08
A-2030,C-1020,CREDIT,USD,491.59,FROZEN,8/19/2025 21:01,B-30
A-2031,C-1045,SAVINGS,INR,3392.74,CLOSED,8/19/2025 21:01,B-25
A-2032,C-1009,SAVINGS,EUR,3727.52,ACTIVE,8/19/2025 21:01,B-20
A-2033,C-1030,CREDIT,GBP,2731,ACTIVE,8/19/2025 21:01,B-01
A-2034,C-1049,CHECKING,EUR,191.88,FROZEN,8/19/2025 21:01,B-12
A-2035,C-1016,CHECKING,INR,3601.13,CLOSED,8/19/2025 21:01,B-23
A-2036,C-1030,CREDIT,EUR,8199.49,FROZEN,8/19/2025 21:01,B-07
A-2037,C-1006,SAVINGS,INR,5751.94,CLOSED,8/19/2025 21:01,B-13
A-2038,C-1009,CREDIT,INR,2335.17,FROZEN,8/19/2025 21:01,B-10
A-2039,C-1021,CREDIT,USD,7913.94,CLOSED,8/19/2025 21:01,B-09
A-2040,C-1009,LOAN,EUR,9437.22,FROZEN,8/19/2025 21:01,B-15
A-2041,C-1045,CHECKING,INR,1694.96,CLOSED,8/19/2025 21:01,B-22
A-2042,C-1043,SAVINGS,GBP,4022.3,FROZEN,8/19/2025 21:01,B-28
A-2043,C-1011,CREDIT,GBP,7331.25,FROZEN,8/19/2025 21:01,B-25
A-2044,C-1048,SAVINGS,USD,9500.28,ACTIVE,8/19/2025 21:01,B-02
A-2045,C-1033,SAVINGS,INR,7036.26,ACTIVE,8/19/2025 21:01,B-04
A-2046,C-1012,CHECKING,USD,6466.19,FROZEN,8/19/2025 21:01,B-24
A-2047,C-1030,CHECKING,USD,7437.36,FROZEN,8/19/2025 21:01,B-13
A-2048,C-1040,CREDIT,GBP,9709.41,CLOSED,8/19/2025 21:01,B-13
A-2049,C-1046,SAVINGS,EUR,4600.22,CLOSED,8/19/2025 21:01,B-12
A-2050,C-1046,SAVINGS,GBP,2636.8,ACTIVE,8/19/2025 21:01,B-20
